Datetime,load,solar,px_buy,px_sell
2025-01-29 23:00:00-08:00,0.08,0.0,0.4,0.05
2025-01-30 00:00:00-08:00,0.15,0.0,0.4,0.05
2025-01-30 01:00:00-08:00,0.06,0.0,0.4,0.05
2025-01-30 02:00:00-08:00,0.09,0.0,0.4,0.05
2025-01-30 03:00:00-08:00,0.09,0.0,0.4,0.05
2025-01-30 04:00:00-08:00,0.07,0.0,0.4,0.05
2025-01-30 05:00:00-08:00,0.12,0.0,0.4,0.05
2025-01-30 06:00:00-08:00,0.12,0.00214,0.4,0.05
2025-01-30 07:00:00-08:00,0.33,0.12383,0.4,0.05
2025-01-30 08:00:00-08:00,0.07,0.23448,0.4,0.05
2025-01-30 09:00:00-08:00,0.08,0.29945,0.4,0.05
2025-01-30 10:00:00-08:00,0.07,0.45538,0.4,0.05
2025-01-30 11:00:00-08:00,0.14,0.68363,0.4,0.05
2025-01-30 12:00:00-08:00,0.07,0.72234,0.4,0.05
2025-01-30 13:00:00-08:00,0.07,0.51422,0.4,0.05
2025-01-30 14:00:00-08:00,0.13,0.38114,0.4,0.05
2025-01-30 15:00:00-08:00,0.07,0.15878,0.4,0.08
2025-01-30 16:00:00-08:00,0.07,0.0,0.52,0.08
2025-01-30 17:00:00-08:00,0.36,0.0,0.52,0.08
2025-01-30 18:00:00-08:00,0.5,0.0,0.52,0.08
2025-01-30 19:00:00-08:00,0.42,0.0,0.52,0.08
2025-01-30 20:00:00-08:00,0.41,0.0,0.52,0.08
2025-01-30 21:00:00-08:00,0.66,0.0,0.52,0.05
2025-01-30 22:00:00-08:00,0.34,0.0,0.4,0.05
2025-01-30 23:00:00-08:00,0.26,0.0,0.4,0.05
2025-01-31 00:00:00-08:00,0.18,0.0,0.4,0.05
2025-01-31 01:00:00-08:00,0.06,0.0,0.4,0.05
2025-01-31 02:00:00-08:00,0.03,0.0,0.4,0.05
2025-01-31 03:00:00-08:00,0.03,0.0,0.4,0.05
2025-01-31 04:00:00-08:00,0.03,0.0,0.4,0.05
2025-01-31 05:00:00-08:00,0.03,0.0,0.4,0.05
2025-01-31 06:00:00-08:00,0.09,0.00248,0.4,0.05
2025-01-31 07:00:00-08:00,0.44,0.30472,0.4,0.05
2025-01-31 08:00:00-08:00,0.06,0.50058,0.4,0.05
2025-01-31 09:00:00-08:00,0.03,0.74383,0.4,0.05
2025-01-31 10:00:00-08:00,0.03,0.81245,0.4,0.05
2025-01-31 11:00:00-08:00,0.03,0.85863,0.4,0.05
2025-01-31 12:00:00-08:00,0.09,0.75113,0.4,0.05
2025-01-31 13:00:00-08:00,0.07,0.54502,0.4,0.05
2025-01-31 14:00:00-08:00,0.03,0.23525,0.4,0.05
2025-01-31 15:00:00-08:00,0.03,0.04859,0.4,0.08
2025-01-31 16:00:00-08:00,0.03,0.0,0.52,0.08
2025-01-31 17:00:00-08:00,0.08,0.0,0.52,0.08
2025-01-31 18:00:00-08:00,0.09,0.0,0.52,0.08
2025-01-31 19:00:00-08:00,0.04,0.0,0.52,0.08
2025-01-31 20:00:00-08:00,0.04,0.0,0.52,0.08
2025-01-31 21:00:00-08:00,0.04,0.0,0.52,0.05
2025-01-31 22:00:00-08:00,0.07,0.0,0.4,0.05
2025-01-31 23:00:00-08:00,0.17,0.0,0.4,0.05
